Task,Dataset ID,Likes,Downloads,Last Modified,License,Models,Size,ArXiv
Translation,IWSLT/ted_talks_iwslt,19,579,2024-01-18 11:16:58+00:00,cc-by-nc-nd-4.0,0,unknown,none
Translation,alt-qsri/tweets_ar_en_parallel,4,99,2024-01-18 11:17:35+00:00,apache-2.0,0,unknown,none
Translation,community-datasets/udhr,2,87,2024-01-18 11:17:42+00:00,unknown,0,unknown,none
Translation,Helsinki-NLP/un_ga,3,736,2024-04-02 13:20:41+00:00,unknown,0,unknown,none
Translation,Helsinki-NLP/multiun,12,1929,2024-02-27 16:59:52+00:00,unknown,0,unknown,none
Translation,Helsinki-NLP/tatoeba_mt,59,1529,2024-10-08 18:12:10+00:00,cc-by-2.0,6,unknown,none
Translation,gsarti/flores_101,26,6299,2022-10-27 08:37:36+00:00,cc-by-sa-4.0,1,unknown,2106.03193
Translation,yhavinga/ccmatrix,24,4106,2024-03-14 08:43:02+00:00,unknown,8,unknown,1911.04944
Translation,GroNLP/divemt,2,120,2023-02-10 11:04:33+00:00,gpl-3.0,0,unknown,2205.12215
Translation,gsarti/mt_geneval,7,125,2022-11-21 14:52:09+00:00,cc-by-sa-3.0,0,unknown,2211.01355
Translation,EmnaBou/DataTranslationDT,0,14,2022-12-12 12:56:36+00:00,unknown,0,unknown,none
Translation,inseq/divemt_attributions,0,17,2023-03-16 16:02:19+00:00,apache-2.0,0,unknown,2205.12215
Translation,collectivat/amazic,10,53,2025-02-04 15:08:52+00:00,cc-by-2.0,0,unknown,none
Translation,vpermilp/nllb-200-distilled-600M-rust,0,70,2023-03-04 08:00:22+00:00,cc-by-nc-4.0,0,unknown,none
Translation,SaeedMLK/seq2seq_ccmatrix_ar_en,0,10,2023-03-20 07:22:43+00:00,none,0,unknown,none
Translation,deliadumitrescu/disinfo22-small,2,24,2023-05-03 09:33:17+00:00,cc-by-4.0,0,unknown,none
Translation,gsarti/iwslt2017_context,1,320,2023-05-07 14:09:24+00:00,cc-by-nc-nd-4.0,7,unknown,none
Translation,fhaddad/autotrain-data-fhdd_arabic_chatbot,0,33,2023-06-14 22:00:25+00:00,none,0,unknown,none
Translation,visheratin/laion-coco-nllb,43,1106,2024-04-11 16:36:31+00:00,cc-by-nc-4.0,8,unknown,2309.01859
Translation,severo/flores_101,2,331,2022-10-27 08:37:36+00:00,cc-by-sa-4.0,0,unknown,2106.03193
Translation,Amani27/massive_translation_dataset,10,143,2023-07-25 14:54:44+00:00,cc-by-4.0,1,unknown,none
Translation,crystalai/autotrain-data-crystal_alchemist-vision,1,0,2023-08-25 01:37:45+00:00,apache-2.0,0,unknown,none
Translation,PetraAI/PetraAI,21,119,2023-09-14 21:04:52+00:00,apache-2.0,1,unknown,none
Translation,Sylvana/qa_en_translation,2,18,2023-08-18 07:51:14+00:00,apache-2.0,0,unknown,none
Translation,M-A-D/Mixed-Arabic-Datasets-Repo,34,1255,2023-10-16 21:25:35+00:00,none,0,unknown,none
Translation,dot-ammar/AR-dotless-small,0,28,2023-09-11 15:35:39+00:00,none,0,unknown,none
Translation,Nicolas-BZRD/English_French_Songs_Lyrics_Translation_Original,13,51,2024-02-08 23:34:15+00:00,unknown,0,unknown,2402.00786
Translation,M-A-D/Mixed-Arabic-Dataset-Main,6,144,2023-10-06 17:56:33+00:00,none,3,unknown,none
Translation,BounharAbdelaziz/English-to-Moroccan-Darija,10,16,2024-04-05 14:26:03+00:00,none,1,unknown,none
Translation,PeepDaSlan9/DIDI,2,24,2023-10-18 15:51:49+00:00,apache-2.0,0,unknown,none
Translation,jhu-clsp/seamless-align,12,335,2024-06-02 17:03:04+00:00,mit,0,unknown,2308.11596
Translation,lingvanex/lingvanex_test_references,2,52,2023-10-24 13:48:54+00:00,cc-by-nc-sa-4.0,0,unknown,none
Translation,slone/nllb-200-10M-sample,10,93,2023-11-20 13:15:10+00:00,odc-by,1,unknown,2207.04672
Translation,mhmtcrkglu/autotrain-data-testtranslation,0,31,2023-10-31 08:55:45+00:00,none,0,unknown,none
Translation,asas-ai/financial_news,1,16,2023-11-01 05:34:18+00:00,apache-2.0,0,unknown,none
Translation,ReDUB/ComfyOpenSubtitles,0,25,2023-11-20 05:03:53+00:00,unknown,0,unknown,none
Translation,ReDUB/SoundHarvest,2,45,2023-12-14 22:51:51+00:00,other,0,unknown,none
Translation,Tamazight-NLP/AmaWar,2,41,2024-01-07 18:08:33+00:00,none,0,unknown,none
Translation,M-A-D/DarijaBridge,6,35,2023-11-26 14:17:11+00:00,apache-2.0,0,unknown,none
Translation,ayymen/Pontoon-Translations,15,776,2024-01-19 21:32:07+00:00,mpl-2.0,1,unknown,none
Translation,ImruQays/Rasaif-Classical-Arabic-English-Parallel-texts,8,107,2024-03-22 13:22:34+00:00,cc-by-4.0,0,unknown,none
Translation,ImruQays/Thaqalayn-Classical-Arabic-English-Parallel-texts,8,27,2024-03-22 13:23:23+00:00,cc-by-4.0,0,unknown,none
Translation,ImruQays/Quran-Classical-Arabic-English-Parallel-texts,6,36,2023-12-29 16:54:05+00:00,cc-by-nc-4.0,0,unknown,none
Translation,rayliuca/WikidataLabels,2,1602,2024-01-11 04:17:57+00:00,cc0-1.0,0,unknown,none
Translation,ayymen/Weblate-Translations,15,1157,2024-04-02 10:16:03+00:00,other,0,unknown,none
Translation,google/mittens,6,46,2024-01-17 19:17:58+00:00,cc-by-4.0,0,unknown,none
Translation,wecover/OPUS,0,1934,2024-05-23 09:15:01+00:00,none,0,unknown,2004.09813
Translation,imomayiz/darija-english,8,2034,2024-04-17 00:00:58+00:00,cc,0,unknown,none
Translation,2A2I/Arabic_Aya,13,894,2024-03-15 11:08:04+00:00,apache-2.0,0,unknown,2402.06619
Translation,louam123/darja-tounsi1,0,34,2024-02-14 19:49:39+00:00,none,0,unknown,none
Translation,xezpeleta/ccmatrix,0,34,2024-02-19 07:56:12+00:00,unknown,0,unknown,1911.04944
Translation,Tamazight-NLP/DGLAI,2,22,2024-02-23 03:33:22+00:00,none,0,unknown,none
Translation,alpindale/subscene,3,73,2024-03-05 13:21:42+00:00,apache-2.0,0,unknown,none
Translation,atlasia/darija-translation,16,30,2024-04-25 22:20:20+00:00,cc,0,unknown,none
Translation,Selimx2001x/Arabic-Text-to-Sign-Language-Translation,0,17,2024-03-16 21:27:40+00:00,apache-2.0,0,unknown,none
Translation,MohamedRashad/rasaif-translations,3,30,2024-03-19 15:23:34+00:00,none,0,unknown,none
Translation,felixludos/babel-briefings,5,79,2024-03-29 20:53:36+00:00,cc-by-nc-sa-4.0,0,unknown,2403.19352
Translation,ymoslem/CoVoST2-EN-AR,4,54,2024-12-04 13:15:08+00:00,cc-by-nc-4.0,0,unknown,2007.10310
Translation,atlasia/Synthetic-Data-English-Darija,2,33,2024-11-03 21:35:34+00:00,none,0,unknown,none
Translation,ziozzang/osx_dictionary_translation_pairs,1,26,2024-04-02 04:16:05+00:00,none,0,unknown,none
Translation,AbderrahmanSkiredj1/data_translation_quran_yusufali_10k,0,9,2024-07-15 19:04:49+00:00,none,0,unknown,none
Translation,AbderrahmanSkiredj1/ahadith_translation_34k,1,13,2024-07-15 19:00:51+00:00,none,0,unknown,none
Translation,AbderrahmanSkiredj1/data_un_parallel_ar_fr_40k,1,29,2025-01-03 22:32:37+00:00,none,0,unknown,none
Translation,miugod/ikcest2022,1,7,2024-04-22 11:48:08+00:00,none,0,unknown,none
Translation,davidstap/ted_talks,3,88,2024-04-16 15:00:08+00:00,cc-by-nc-nd-4.0,4,unknown,none
Translation,AbderrahmanSkiredj1/hadiths_ar_fr_extracted_from_hadeethenc_dot_com_2k5,0,23,2025-01-03 22:33:18+00:00,none,0,unknown,none
Translation,davidstap/NTREX,3,110,2024-04-23 17:47:51+00:00,cc-by-sa-4.0,0,unknown,none
Translation,refine-ai/subscene,0,7923,2025-03-08 05:26:11+00:00,none,0,unknown,none
Translation,berwart/SE-Chatting.en,2,115,2024-10-03 21:10:29+00:00,mit,0,unknown,none
Translation,Mouwiya/SANAD,1,19,2024-05-24 08:53:56+00:00,none,0,unknown,none
Translation,atlasia/darija_english,10,113,2024-05-16 08:00:43+00:00,cc-by-nc-4.0,5,unknown,none
Translation,aiana94/polynews-parallel,13,419,2024-06-21 08:35:51+00:00,cc-by-nc-4.0,1,unknown,2406.12634
Translation,MBZUAI-Paris/DODa-10K,3,66,2024-09-27 06:33:03+00:00,cc-by-nc-4.0,0,unknown,2409.17912
Translation,Mohamedfadil369/BrainData,1,14,2024-06-08 02:36:18+00:00,apache-2.0,0,unknown,none
Translation,Svngoku/xP3x-Kongo,3,17,2024-06-24 21:33:28+00:00,apache-2.0,3,unknown,2211.01786
Translation,TaiMingLu/Multilingual-Benchmark,2,106,2024-12-01 06:22:38+00:00,apache-2.0,0,unknown,2406.13748
Translation,ymoslem/UN-Arabic-English-Filtered,2,205,2024-07-09 17:14:55+00:00,cc-by-4.0,0,unknown,none
Translation,Washedashore/thepower,2,19,2024-07-15 02:56:09+00:00,apache-2.0,0,unknown,none
Translation,mohamed-khalil/ATHAR,8,119,2024-08-04 11:49:52+00:00,cc-by-sa-4.0,0,unknown,2407.19835
Translation,ymoslem/CoVoST2-EN-AR-Text,1,58,2024-12-04 13:15:34+00:00,cc-by-nc-4.0,0,unknown,2007.10310
Translation,ymoslem/MS-UI-EN-AR,1,32,2024-12-15 03:11:34+00:00,none,0,unknown,none
Translation,ymoslem/MS-Glossary-EN-AR,0,28,2024-08-12 21:50:36+00:00,none,0,unknown,none
Translation,ReySajju742/Quran,2,48,2024-08-08 10:46:45+00:00,cc,0,unknown,none
Translation,Abdulmohsena/Classic-Arabic-English-Language-Pairs,1,95,2025-06-01 12:27:17+00:00,none,0,unknown,none
Translation,liboaccn/MIT-10M,9,278,2025-03-13 03:09:43+00:00,apache-2.0,0,unknown,none
Translation,TutlaytAI/Multilang-to-Kabyle-Translation,1,64,2025-01-29 14:16:56+00:00,none,0,unknown,none
Translation,robinhad/long_flores,0,37,2024-08-29 22:09:04+00:00,cc-by-sa-4.0,0,unknown,2207.04672
Translation,DrAliGomaa/ar-eg-dataset,0,127,2025-05-14 22:57:43+00:00,apache-2.0,0,unknown,none
Translation,AnasAber/DoDA_sentences_darija_english,3,92,2024-09-06 17:39:42+00:00,none,2,unknown,none
Translation,espnet/floras,9,8658,2024-11-29 20:12:19+00:00,cc-by-3.0,0,unknown,none
Translation,neurlang/phonetic,4,21,2025-03-05 22:17:33+00:00,cc,0,unknown,none
Translation,neulab/PangeaBench-flores,0,22,2024-11-01 18:31:37+00:00,cc-by-sa-4.0,0,unknown,2207.04672
Translation,efederici/mc-translation,2,45,2024-11-05 10:27:01+00:00,mit,0,unknown,none
Translation,hghalebi/refugiesinfo,1,12,2024-11-28 09:13:33+00:00,other,0,unknown,none
Translation,dijihax/Dataset,2,30,2024-12-06 17:37:23+00:00,apache-2.0,0,unknown,none
Translation,bot-yaya/parallel_corpus_game_2024,5,28,2024-12-09 16:20:55+00:00,mit,0,unknown,none
Translation,ymoslem/Tatoeba-EN-AR,0,77,2024-12-16 08:46:55+00:00,cc-by-2.0,0,unknown,none
Translation,ymoslem/Tatoeba-Translations,2,156,2024-12-29 13:38:30+00:00,cc-by-2.0,0,unknown,none
Translation,MawaredHR/translation2,0,15,2025-01-04 13:34:14+00:00,apache-2.0,0,unknown,none
Translation,khoubrane-yousef/tulu-v2-sft-mixture-english-darija,1,29,2025-01-16 22:19:31+00:00,none,0,unknown,2311.10702
Translation,fantastic-jobs/linkedin-industry-list,0,47,2025-01-11 15:04:13+00:00,mit,0,unknown,none
Translation,ronnieaban/alquran,1,18,2025-01-14 22:13:21+00:00,cc-by-4.0,0,unknown,none
Translation,khoubrane-yousef/tulu-v2-sft-mixture-role-split-english-darija,2,29,2025-01-16 23:22:11+00:00,none,0,unknown,none
Translation,kingkaung/islamqainfo_parallel_corpus,0,21,2025-01-27 07:00:39+00:00,cc-by-nc-4.0,0,unknown,none
Translation,ZoneTwelve/multilingual-stories,0,13,2025-02-05 10:01:17+00:00,apache-2.0,0,unknown,none
Translation,unieai/multilingual-stories-original,2,11,2025-02-05 10:01:17+00:00,apache-2.0,0,unknown,none
Translation,google/wmt24pp,41,3934,2025-03-13 21:53:34+00:00,apache-2.0,1,unknown,2502.12404
Translation,LLaMAX/BenchMAX_General_Translation,0,1034,2025-06-06 07:13:36+00:00,cc-by-4.0,0,unknown,2502.07346
Translation,LLaMAX/BenchMAX_Domain_Translation,0,210,2025-03-19 07:53:38+00:00,cc-by-4.0,0,unknown,2502.07346
Translation,nylancer/OpenShark,0,15,2025-02-10 16:32:58+00:00,mit,0,unknown,none
Translation,shivaniku/UniMoral,3,32,2025-02-21 18:54:53+00:00,none,0,unknown,2502.14083
Translation,ainz/darija-alpaca,0,34,2025-03-03 20:55:25+00:00,cc-by-4.0,0,unknown,none
Translation,YuRiVeRTi/V1Q,3,359,2025-03-11 05:39:24+00:00,apache-2.0,0,unknown,none
Translation,Youseff1987/multilingual_translation_gen_binarized,0,29,2025-03-06 00:03:15+00:00,mit,0,unknown,none
Translation,Youseff1987/multilingual_translation_sft,2,31,2025-03-01 20:58:01+00:00,mit,0,unknown,none
Translation,lenoxaugo254/LenoxAI,1,15,2025-03-04 04:48:43+00:00,none,0,unknown,none
Translation,ymoslem/Human-Evaluation,1,20,2025-03-05 13:40:40+00:00,none,0,unknown,none
Translation,gurgutan/sunnah_ar_en_dataset,0,18,2025-03-13 08:30:41+00:00,mit,0,unknown,none
Translation,ymoslem/acl-6060,0,228,2025-03-14 19:14:58+00:00,cc-by-4.0,0,unknown,none
Translation,silma-ai/arabic-broad-benchmark,6,476,2025-06-11 12:43:32+00:00,apache-2.0,0,unknown,none
Translation,SukrutAI/NCERT-Parallel-Dataset-Indic,1,185,2025-03-24 07:44:49+00:00,none,0,unknown,none
Translation,gurgutan/sira_ar_en,0,15,2025-03-19 11:11:03+00:00,mit,0,unknown,none
Translation,Tamazight-NLP/Tamazight-Speech-to-Arabic-Text,4,144,2025-03-29 22:57:49+00:00,none,0,unknown,none
Translation,miscovery/General_Facts_in_English_Arabic_Egyptian_Arabic,12,103,2025-04-06 07:10:44+00:00,mit,1,unknown,none
Translation,ademchaoua/darja-en-translation,1,35,2025-04-08 02:08:21+00:00,mit,0,unknown,none
Translation,pviechn1/ParaBLoCC,0,472,2025-05-20 21:52:48+00:00,mit,0,unknown,none
Translation,HabibaAbderrahim/Tunisian-Proverbs-with-Image-Associations-A-Cultural-and-Linguistic-Dataset,0,546,2025-05-07 09:16:57+00:00,cc-by-4.0,0,unknown,none
Translation,Gregniuki/arabic_polish_quran_translation,0,32,2025-04-21 20:30:13+00:00,apache-2.0,0,unknown,none
Translation,miscovery/arabic_egypt_english_world_facts,13,163,2025-04-26 02:18:29+00:00,mit,1,unknown,none
Translation,IbrahimAmin/egyptian-arabic-fake-reviews,2,128,2025-06-06 14:53:09+00:00,mit,0,unknown,none
Translation,taha-alnasser/ArzEn-CodeMixed,0,19,2025-05-09 03:38:16+00:00,afl-3.0,0,unknown,none
Translation,Hamzah-Asadullah/TinyDS-20k,1,131,2025-06-09 09:22:53+00:00,mit,0,unknown,none
Translation,Groovy-123/deep-think,1,77,2025-05-22 06:06:36+00:00,other,1,unknown,none
Translation,liboaccn/nmt-parallel-corpus,1,74,2025-06-01 14:50:19+00:00,cc-by-nc-4.0,0,unknown,2505.14256
Translation,freococo/quran_multilingual_parallel,0,120,2025-05-30 12:00:27+00:00,mit,0,unknown,none
